role,object_type,object_id,colony_class,strategic_tags,priority_score,pop_growth_or_assembly,resettlement_source_mult,resettlement_destination_mult,capital_or_diplomacy_modifier,can_demolish,can_build,can_be_disabled,has_destroy_trigger,has_country_modifier,has_empire_limit,requires_capital,winning_mod_name,winning_file,modifier_keys_json,direct_output_json,direct_triggered_output_json,direct_optimistic_output_json,direct_upkeep_json,direct_triggered_upkeep_json,direct_optimistic_upkeep_json,unresolved_variables,direct_output_physics_research,direct_output_society_research,direct_output_engineering_research,direct_output_energy,direct_output_minerals,direct_output_consumer_goods,direct_output_alloys,direct_output_volatile_motes,direct_output_exotic_gases,direct_output_rare_crystals,direct_output_food,direct_output_unity,direct_output_influence,direct_output_trade,direct_output_trade_value,direct_output_sr_zro,direct_output_sr_dark_matter,direct_output_sr_living_metal,direct_output_nanites,direct_output_giga_sr_negative_mass,direct_output_giga_sr_amb_megaconstruction,direct_output_giga_sr_iodizium,direct_output_giga_sr_sentient_metal,direct_triggered_output_physics_research,direct_triggered_output_society_research,direct_triggered_output_engineering_research,direct_triggered_output_energy,direct_triggered_output_minerals,direct_triggered_output_consumer_goods,direct_triggered_output_alloys,direct_triggered_output_volatile_motes,direct_triggered_output_exotic_gases,direct_triggered_output_rare_crystals,direct_triggered_output_food,direct_triggered_output_unity,direct_triggered_output_influence,direct_triggered_output_trade,direct_triggered_output_trade_value,direct_triggered_output_sr_zro,direct_triggered_output_sr_dark_matter,direct_triggered_output_sr_living_metal,direct_triggered_output_nanites,direct_triggered_output_giga_sr_negative_mass,direct_triggered_output_giga_sr_amb_megaconstruction,direct_triggered_output_giga_sr_iodizium,direct_triggered_output_giga_sr_sentient_metal,direct_optimistic_output_physics_research,direct_optimistic_output_society_research,direct_optimistic_output_engineering_research,direct_optimistic_output_energy,direct_optimistic_output_minerals,direct_optimistic_output_consumer_goods,direct_optimistic_output_alloys,direct_optimistic_output_volatile_motes,direct_optimistic_output_exotic_gases,direct_optimistic_output_rare_crystals,direct_optimistic_output_food,direct_optimistic_output_unity,direct_optimistic_output_influence,direct_optimistic_output_trade,direct_optimistic_output_trade_value,direct_optimistic_output_sr_zro,direct_optimistic_output_sr_dark_matter,direct_optimistic_output_sr_living_metal,direct_optimistic_output_nanites,direct_optimistic_output_giga_sr_negative_mass,direct_optimistic_output_giga_sr_amb_megaconstruction,direct_optimistic_output_giga_sr_iodizium,direct_optimistic_output_giga_sr_sentient_metal,direct_upkeep_physics_research,direct_upkeep_society_research,direct_upkeep_engineering_research,direct_upkeep_energy,direct_upkeep_minerals,direct_upkeep_consumer_goods,direct_upkeep_alloys,direct_upkeep_volatile_motes,direct_upkeep_exotic_gases,direct_upkeep_rare_crystals,direct_upkeep_food,direct_upkeep_unity,direct_upkeep_influence,direct_upkeep_trade,direct_upkeep_trade_value,direct_upkeep_sr_zro,direct_upkeep_sr_dark_matter,direct_upkeep_sr_living_metal,direct_upkeep_nanites,direct_upkeep_giga_sr_negative_mass,direct_upkeep_giga_sr_amb_megaconstruction,direct_upkeep_giga_sr_iodizium,direct_upkeep_giga_sr_sentient_metal,direct_triggered_upkeep_physics_research,direct_triggered_upkeep_society_research,direct_triggered_upkeep_engineering_research,direct_triggered_upkeep_energy,direct_triggered_upkeep_minerals,direct_triggered_upkeep_consumer_goods,direct_triggered_upkeep_alloys,direct_triggered_upkeep_volatile_motes,direct_triggered_upkeep_exotic_gases,direct_triggered_upkeep_rare_crystals,direct_triggered_upkeep_food,direct_triggered_upkeep_unity,direct_triggered_upkeep_influence,direct_triggered_upkeep_trade,direct_triggered_upkeep_trade_value,direct_triggered_upkeep_sr_zro,direct_triggered_upkeep_sr_dark_matter,direct_triggered_upkeep_sr_living_metal,direct_triggered_upkeep_nanites,direct_triggered_upkeep_giga_sr_negative_mass,direct_triggered_upkeep_giga_sr_amb_megaconstruction,direct_triggered_upkeep_giga_sr_iodizium,direct_triggered_upkeep_giga_sr_sentient_metal,direct_optimistic_upkeep_physics_research,direct_optimistic_upkeep_society_research,direct_optimistic_upkeep_engineering_research,direct_optimistic_upkeep_energy,direct_optimistic_upkeep_minerals,direct_optimistic_upkeep_consumer_goods,direct_optimistic_upkeep_alloys,direct_optimistic_upkeep_volatile_motes,direct_optimistic_upkeep_exotic_gases,direct_optimistic_upkeep_rare_crystals,direct_optimistic_upkeep_food,direct_optimistic_upkeep_unity,direct_optimistic_upkeep_influence,direct_optimistic_upkeep_trade,direct_optimistic_upkeep_trade_value,direct_optimistic_upkeep_sr_zro,direct_optimistic_upkeep_sr_dark_matter,direct_optimistic_upkeep_sr_living_metal,direct_optimistic_upkeep_nanites,direct_optimistic_upkeep_giga_sr_negative_mass,direct_optimistic_upkeep_giga_sr_amb_megaconstruction,direct_optimistic_upkeep_giga_sr_iodizium,direct_optimistic_upkeep_giga_sr_sentient_metal
capital_world,building,building_grand_embassy,generic_planet_or_special,capital_or_empire_unique_candidate|has_destroy_trigger,60.0,0,0,0,2.0,default,no,default,yes,yes,no,yes,Stellaris vanilla,common\buildings\02_government_buildings.txt,"{""envoys_add"":2.0,""has_starbase_building"":0.0,""is_starbase_building_building"":0.0,""starbase"":0.0}",{},{},{},"{""energy"":8.0,""rare_crystals"":2.0}",{},"{""energy"":8.0,""rare_crystals"":2.0}",none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capital_world,building,building_order_keep,generic_planet_or_special,cannot_demolish|capital_or_empire_unique_candidate|has_destroy_trigger|migration_destination,60.0,0,0,1.0,0,no,default,no,yes,no,yes,no,Stellaris vanilla,common\buildings\02_government_buildings.txt,"{""planet_resettlement_unemployed_destination_mult"":1.0,""planet_stability_add"":5.0}",{},{},{},{},{},{},none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capital_world,building,building_embassy,generic_planet_or_special,capital_or_empire_unique_candidate|has_destroy_trigger,35.0,0,0,0,1.0,default,default,default,yes,yes,no,yes,Stellaris vanilla,common\buildings\02_government_buildings.txt,"{""envoys_add"":1.0,""has_starbase_building"":0.0,""is_starbase_building_building"":0.0,""starbase"":0.0}",{},{},{},"{""energy"":5.0,""rare_crystals"":1.0}",{},"{""energy"":5.0,""rare_crystals"":1.0}",none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capital_world,building,building_whisperers_sanctum,generic_planet_or_special,capital_or_empire_unique_candidate|has_destroy_trigger,35.0,0,0,0,1.0,default,default,default,yes,yes,yes,no,Stellaris vanilla,common\buildings\12_event_buildings.txt,"{""envoys_add"":1.0,""starbase"":0.0}",{},{},{},"{""energy"":8.0,""sr_zro"":1.0}",{},"{""energy"":8.0,""sr_zro"":1.0}",none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capital_world,building,mem_building_ancient_palace,generic_planet_or_special,capital_or_empire_unique_candidate,35.0,0,0,0,1.0,yes,no,default,no,yes,no,no,More Events Mod,common\buildings\mem_vazuran_buildings.txt,"{""envoys_add"":1.0,""planet_amenities_add"":1200.0,""planet_housing_add"":1200.0}",{},{},{},"{""energy"":10.0}",{},"{""energy"":10.0}",none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capital_world,building,building_cyberdome,generic_planet_or_special,capital_or_empire_unique_candidate|has_destroy_trigger|migration_destination,22.5,0,0,0.25,0,default,default,default,yes,no,no,yes,Stellaris vanilla,common\buildings\20_machine_age_buildings.txt,"{""planet_housing_add"":5000.0,""planet_resettlement_unemployed_destination_mult"":0.25}",{},{},{},"{""energy"":3.0}",{},"{""energy"":3.0}",none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capital_world,building,building_xeno_tourism_agency,generic_planet_or_special,capital_or_empire_unique_candidate|migration_destination,22.5,0,0,0.25,0,default,default,default,no,yes,no,no,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,"{""planet_resettlement_unemployed_destination_mult"":0.25}",{},{},{},"{""energy"":5.0,""rare_crystals"":1.0}",{},"{""energy"":5.0,""rare_crystals"":1.0}",@crime_floor_from_legal_crime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capital_world,building,building_cradle_sanctum,generic_planet_or_special,capital_or_empire_unique_candidate|has_destroy_trigger,15.0,0,0,0,0.2,default,default,default,yes,yes,yes,no,Stellaris vanilla,common\buildings\23_shroud_buildings.txt,"{""envoy_improve_relations_mult"":0.2}",{},{},{},"{""energy"":8.0,""sr_zro"":1.0}",{},"{""energy"":8.0,""sr_zro"":1.0}",none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capital_world,building,aesthetic_wonders_holomuseum,generic_planet_or_special,capital_or_empire_unique_candidate,10.0,0,0,0,0,default,default,default,no,yes,yes,no,Stellaris vanilla,common\buildings\21_grand_archive_buildings.txt,{},{},{},{},"{""energy"":2.0}",{},"{""energy"":2.0}",none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capital_world,building,building_adakkaria_patriotic_institute,generic_planet_or_special,cannot_demolish|capital_or_empire_unique_candidate,10.0,0,0,0,0,no,yes,yes,no,yes,no,no,Stellaris vanilla,common\buildings\19_cosmic_storm_buildings.txt,{},{},{},{},"{""energy"":5.0}",{},"{""energy"":5.0}",none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
